subject,day,week,chapter,topic,batch_code,test_title,difficulty,question_text_en,option_a,option_b,option_c,option_d,correct_option,explanation_en,source,map_or_case_tag,pyq_linked,status
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 1: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 1.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 1.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 2: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 2.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 2.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,PYQ_STYLE,"Consider the following statements about Earth as a system for UPSC map reasoning question 3: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 3.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 3.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 4: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 4.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 4.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,Yes,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,HARD,"Consider the following statements about Earth as a system for UPSC map reasoning question 5: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 5.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 5.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,PYQ_STYLE,"Consider the following statements about Earth as a system for UPSC map reasoning question 6: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 6.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 6.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 7: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 7.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 7.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 8: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 8.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 8.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,Yes,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,PYQ_STYLE,"Consider the following statements about Earth as a system for UPSC map reasoning question 9: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 9.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 9.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,HARD,"Consider the following statements about Earth as a system for UPSC map reasoning question 10: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 10.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 10.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 11: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 11.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 11.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,PYQ_STYLE,"Consider the following statements about Earth as a system for UPSC map reasoning question 12: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 12.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 12.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,Yes,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 13: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 13.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 13.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 14: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 14.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 14.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,HARD,"Consider the following statements about Earth as a system for UPSC map reasoning question 15: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 15.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 15.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
